Year,Month,Crude Oil Price,Production,Crude Oil Export,EXGR
2010,1,77.62,2.33,1.88,150.33
2010,2,75.06,2.39,1.94,150.97
2010,3,80.27,2.44,1.99,150.08
2010,4,85.29,2.41,1.96,150.38
2010,5,77.54,2.41,1.96,151.49
2010,6,75.79,2.21,1.76,151.27
2010,7,77.18,2.48,2.03,150.27
2010,8,78.67,2.5,2.05,150.7
2010,9,79.45,2.48,2.03,152.62
2010,10,84.42,2.88,2.43,151.78
2010,11,86.71,2.5,2.05,150.55
2010,12,92.79,2.58,2.13,152.63
2011,1,97.96,2.49,2.04,152.57
2011,2,106.57,2.51,2.06,152.75
2011,3,116.56,2.29,1.84,155.21
2011,4,124.49,2.42,1.97,154.6
2011,5,118.43,2.5,2.05,156.17
2011,6,117.03,2.34,1.89,155.66
2011,7,117.86,2.34,1.89,152.6
2011,8,111.99,2.41,1.96,152.36
2011,9,115.73,2.32,1.87,156.7
2011,10,113.12,2.36,1.91,159.82
2011,11,113.92,2.32,1.87,158.76
2011,12,111.46,2.27,1.82,162.27
2012,1,113.81,2.23,1.78,161.31
2012,2,121.87,2.4,1.95,158.59
2012,3,128,2.34,1.89,157.72
2012,4,122.62,2.3,1.85,157.44
2012,5,113.08,2.4,1.95,157.46
2012,6,98.06,2.37,1.92,162.33
2012,7,104.62,2.42,1.97,161.33
2012,8,113.76,2.48,2.03,158.97
2012,9,114.36,2.45,2,157.78
2012,10,108.92,2.19,1.74,157.24
2012,11,111.05,2.03,1.58,157.58
2012,12,114.49,2.21,1.76,157.33
2013,1,115.24,2.23,1.78,156.96
2013,2,118.81,2.23,1.78,157.52
2013,3,112.79,2.2,1.75,158.63
2013,4,105.55,2.24,1.79,158.2
2013,5,106,2.06,1.61,158.02
2013,6,106.06,2.03,1.58,160.02
2013,7,109.78,2.2,1.75,161.12
2013,8,107.84,2.29,1.84,161.15
2013,9,113.59,2.29,1.84,161.96
2013,10,112.29,2.23,1.78,159.83
2013,11,111.14,2.09,1.64,158.79
2013,12,112.75,2.11,1.66,159.05
2014,1,110.19,2.29,1.84,160.23
2014,2,110.83,2.28,1.83,163.62
2014,3,109.47,2.21,1.76,164.61
2014,4,110.41,2.22,1.77,162.19
2014,5,111.9,2.33,1.88,161.86
2014,6,114.6,2.16,1.71,162.82
2014,7,109.63,2.06,1.61,162.25
2014,8,102.33,2.2,1.75,161.99
2014,9,98.27,2.1,1.65,162.93
2014,10,83.5,2.21,1.76,164.64
2014,11,80.42,2.18,1.73,171.1
2014,12,63.28,2.23,1.78,180.33
2015,1,48.81,2.2,1.75,181.78
2015,2,58.09,2.21,1.76,194.48
2015,3,56.69,2.07,1.62,197.07
2015,4,57.45,2.03,1.58,197
2015,5,65.08,2.05,1.6,197
2015,6,62.06,1.97,1.52,196.92
2015,7,57.01,2.18,1.73,196.97
2015,8,47.09,2.12,1.67,197
2015,9,48.08,2.22,1.77,197
2015,10,48.86,2.21,1.76,196.99
2015,11,44.82,2.18,1.73,196.99
2015,12,37.8,2.08,1.63,196.99
2016,1,30.66,2.15,1.7,197
2016,2,31.7,2.11,1.66,197
2016,3,37.76,1.92,1.47,197
2016,4,41.59,1.99,1.54,197
2016,5,47.01,1.68,1.23,197
2016,6,48.46,1.77,1.32,231.76
2016,7,45.25,1.65,1.2,294.57
2016,8,46.15,1.5,1.05,309.73
2016,9,47.43,1.75,1.3,305.23
2016,10,50.94,1.78,1.33,305.21
2016,11,45.25,1.92,1.47,305.18
2016,12,53.48,1.58,1.13,305.22
2017,1,55.01,1.84,1.39,305.2
2017,2,46.39,1.82,1.37,305.31
2017,3,52.13,1.6,1.15,306.4
2017,4,52.94,1.79,1.34,306.05
2017,5,50.57,1.87,1.42,305.54
2017,6,47.42,1.95,1.5,305.72
2017,7,49.01,2.01,1.56,305.86
2017,8,51.64,1.99,1.54,305.67
2017,9,56.79,1.93,1.48,305.89
2017,10,58.46,1.95,1.5,305.62
2017,11,63.56,1.96,1.51,305.9
2017,12,65.11,1.96,1.51,306.31
2018,1,69.68,2,1.55,305.78
2018,2,66.67,2.01,1.56,305.9
2018,3,74.72,1.94,1.49,305.74
2018,4,72.37,1.97,1.52,305.61
2018,5,77.64,1.78,1.33,305.83
2018,6,75.38,1.78,1.33,305.87
2018,7,74.72,1.83,1.38,305.81
2018,8,73.35,2,1.55,306.06
2018,9,79.59,1.96,1.51,306.27
2018,10,79.18,2.01,1.56,306.5
2018,11,66.59,1.8,1.35,306.71
2018,12,62,1.9,1.45,306.92
2019,1,60.39,1.95,1.5,306.85
2019,2,64.89,1.99,1.54,306.77
2019,3,67.67,2.02,1.57,306.92
2019,4,73.08,1.94,1.49,306.96
2019,5,73.65,1.94,1.49,306.95
2019,6,66.74,2.09,1.64,306.95
2019,7,66.24,2.11,1.66,306.94
2019,8,61.05,2.09,1.64,306.93
2019,9,65.27,2.07,1.62,306.92
2019,10,59.1,2.05,1.6,306.96
2019,11,63.56,1.94,1.49,306.95
2019,12,68.56,1.96,1.51,306.95
2020,1,66.68,2.07,1.62,306.96
2020,2,58.45,2.07,1.62,306.96
2020,3,32.29,2.04,1.59,326.63
2020,4,14.28,2.04,1.59,361
2020,5,27.9,1.75,1.3,361
2020,6,40.3,1.69,1.24,361
2020,7,44.1,1.65,1.2,377.19
2020,8,45.06,1.65,1.2,381
2020,9,40.85,1.54,1.09,381
2020,10,39.74,1.61,1.16,381
2020,11,42.7,1.54,1.09,381
2020,12,50.33,1.42,0.97,381
2021,1,54.87,1.36,0.91,381
2021,2,62.48,1.42,0.97,381
2021,3,65.62,1.43,0.98,381
2021,4,64.3,1.37,0.92,381
2021,5,67.83,1.34,0.89,409.5
2021,6,73.46,1.31,0.86,409.6
2021,7,75.93,1.32,0.87,409.6
2021,8,70.72,1.24,0.79,409.82
2021,9,74.55,1.25,0.8,410.3
2021,10,84.11,1.23,0.78,410.59
2021,11,82.16,1.23,0.78,410.66
2021,12,65.41,1.2,0.75,412.99
2022,1,88.71,1.4,0.95,415.26
2022,2,99.64,1.26,0.81,416.09
2022,3,121.23,1.24,0.79,416.12
2022,4,106.51,1.22,0.77,415.19
2022,5,116.72,1.02,0.57,415.15
2022,6,130.1,1.16,0.71,414.72
2022,7,120.54,1.08,0.63,415.68
2022,8,106.34,0.97,0.52,423.48
2022,9,93.25,0.94,0.49,432.37
